,Endo_id,cell_id,cell_name,receptor_id,receptor
1622,ENH00521,ENC00048,heart,empty0,empty0
1623,ENH00521,ENC00074,lung,empty0,empty0
1624,ENH00521,ENC00097,ovary,empty0,empty0
1625,ENH00521,ENC00127,small_intestine,empty0,empty0
1626,ENH00521,ENC00221,large_intestine,empty0,empty0
1627,ENH00521,ENC00112,placenta,empty0,empty0
1628,ENH00521,ENC00473,mesenchyme_cell,empty0,empty0
1629,ENH00522,ENC00020,brain,empty0,empty0
1630,ENH00522,ENC00112,placenta,empty0,empty0
1631,ENH00522,ENC00048,heart,empty0,empty0
1632,ENH00522,ENC00063,kidney,empty0,empty0
1633,ENH00522,ENC00074,lung,empty0,empty0
1634,ENH00522,ENC00122,skeleton_muscle,empty0,empty0
1635,ENH00522,ENC00102,pancreas,empty0,empty0
1636,ENH00522,ENC00164,retina,empty0,empty0
1637,ENH00522,ENC00244,epithelial_cell,empty0,empty0
1638,ENH00524,ENC00474,glomerulus,empty0,empty0
1639,ENH00524,ENC00476,neuromuscular_junction,empty0,empty0
1640,ENH00525,ENC00213,epidermis,empty0,empty0
1641,ENH00525,ENC00323,eye,empty0,empty0
1642,ENH00525,ENC00125,skin,empty0,empty0
1643,ENH00525,ENC00244,epithelial_cell,empty0,empty0
1644,ENH00526,ENC00231,continuous_vascular_endothelial_cell_of_blood_vessels_and_lymphatics,empty0,empty0
1645,ENH00527,ENC00088,nerve,empty0,empty0
1646,ENH00527,ENC00244,epithelial_cell,empty0,empty0
1647,ENH00527,ENC00112,placenta,empty0,empty0
1648,ENH00527,ENC00125,skin,empty0,empty0
1649,ENH00527,ENC00048,heart,empty0,empty0
1650,ENH00527,ENC00074,lung,empty0,empty0
1651,ENH00527,ENC00020,brain,empty0,empty0
1652,ENH00528,ENC00164,retina,empty0,empty0
1653,ENH00528,ENC00050,hippocampus,empty0,empty0
1654,ENH00528,ENC00183,brain_stem,empty0,empty0
1655,ENH00529,ENC00419,Schwann_cell,empty0,empty0
1656,ENH00529,ENC00144,thymus,empty0,empty0
1657,ENH00529,ENC00119,Sertoli_cell,empty0,empty0
1658,ENH00529,ENC00140,testis,empty0,empty0
1659,ENH00530,ENC00210,hair_follicle,empty0,empty0
1660,ENH00531,ENC00184,colon,empty0,empty0
1661,ENH00534,ENC00249,hepatocyte,empty0,empty0
1662,ENH00534,ENC00278,distal_tubule_of_nephron,empty0,empty0
1663,ENH00534,ENC00063,kidney,empty0,empty0
1664,ENH00535,ENC00396,podocyte,empty0,empty0
1665,ENH00539,ENC00184,colon,empty0,empty0
1666,ENH00540,ENC00365,digestive_system,empty0,empty0
1667,ENH00541,ENC00231,continuous_vascular_endothelial_cell_of_blood_vessels_and_lymphatics,empty0,empty0
1668,ENH00541,ENC00063,kidney,empty0,empty0
1669,ENH00541,ENC00097,ovary,empty0,empty0
1670,ENH00541,ENC00127,small_intestine,empty0,empty0
1671,ENH00541,ENC00140,testis,empty0,empty0
1672,ENH00542,ENC00249,hepatocyte,empty0,empty0
1673,ENH00542,ENC00127,small_intestine,empty0,empty0
1674,ENH00543,ENC00127,small_intestine,empty0,empty0
1675,ENH00543,ENC00249,hepatocyte,empty0,empty0
1676,ENH00545,ENC00249,hepatocyte,empty0,empty0
1677,ENH00546,ENC00249,hepatocyte,empty0,empty0
1678,ENH00547,ENC00249,hepatocyte,ENR00982,THRA1
1679,ENH00547,ENC00249,hepatocyte,ENR00659,THRB1
1680,ENH00547,ENC00249,hepatocyte,ENR01078,bile acid receptor
1681,ENH00547,ENC00249,hepatocyte,ENR01077,LXR-alpha
1682,ENH00547,ENC00249,hepatocyte,ENR00901,PPAR-alpha
1683,ENH00548,ENC00249,hepatocyte,ENR01177,LDL-R
1684,ENH00548,ENC00249,hepatocyte,ENR01310,Sterol O-acyltransferase 1
1685,ENH00548,ENC00249,hepatocyte,ENR00901,PPAR-alpha
1686,ENH00548,ENC00249,hepatocyte,ENR01162,autocrine motility factor receptor
1687,ENH00549,ENC00249,hepatocyte,ENR01177,LDL-R
1688,ENH00549,ENC00249,hepatocyte,ENR01310,Sterol O-acyltransferase 1
1689,ENH00550,ENC00249,hepatocyte,empty0,empty0
1690,ENH00550,ENC00127,small_intestine,empty0,empty0
1691,ENH00550,ENC00221,large_intestine,empty0,empty0
1692,ENH00551,ENC00130,spleen,empty0,empty0
1693,ENH00551,ENC00074,lung,empty0,empty0
1694,ENH00551,ENC00115,prostate,empty0,empty0
1695,ENH00552,ENC00048,heart,empty0,empty0
1696,ENH00552,ENC00102,pancreas,empty0,empty0
1697,ENH00552,ENC00122,skeleton_muscle,empty0,empty0
1698,ENH00552,ENC00127,small_intestine,empty0,empty0
1699,ENH00552,ENC00130,spleen,empty0,empty0
1700,ENH00553,ENC00249,hepatocyte,empty0,empty0
1701,ENH00554,ENC00249,hepatocyte,empty0,empty0
1702,ENH00556,ENC00284,astrocyte,empty0,empty0
1703,ENH00556,ENC00472,oligodendrocyte,empty0,empty0
1704,ENH00556,ENC00221,large_intestine,empty0,empty0
1705,ENH00556,ENC00102,pancreas,empty0,empty0
1706,ENH00556,ENC00063,kidney,empty0,empty0
1707,ENH00556,ENC00112,placenta,empty0,empty0
1708,ENH00556,ENC00130,spleen,empty0,empty0
1709,ENH00559,ENC00020,brain,empty0,empty0
1710,ENH00559,ENC00171,muscle,empty0,empty0
1711,ENH00560,ENC00020,brain,empty0,empty0
1712,ENH00560,ENC00112,placenta,empty0,empty0
1713,ENH00560,ENC00076,mammary_gland,empty0,empty0
1714,ENH00560,ENC00063,kidney,empty0,empty0
1715,ENH00560,ENC00074,lung,empty0,empty0
1716,ENH00560,ENC00048,heart,empty0,empty0
1717,ENH00560,ENC00360,neuron,empty0,empty0
1718,ENH00560,ENC00396,podocyte,empty0,empty0
1719,ENH00561,ENC00140,testis,empty0,empty0
1720,ENH00561,ENC00048,heart,empty0,empty0
1721,ENH00561,ENC00122,skeleton_muscle,empty0,empty0
1722,ENH00561,ENC00184,colon,empty0,empty0
1723,ENH00561,ENC00127,small_intestine,empty0,empty0
1724,ENH00561,ENC00097,ovary,empty0,empty0
1725,ENH00561,ENC00115,prostate,empty0,empty0
1726,ENH00563,ENC00140,testis,empty0,empty0
1727,ENH00564,ENC00020,brain,empty0,empty0
1728,ENH00565,ENC00578,liver,ENR00864,IL-6R
1729,ENH00566,ENC00216,macrophage,empty0,empty0
1730,ENH00566,ENC00247,monocyte,empty0,empty0
1731,ENH00568,ENC00247,monocyte,empty0,empty0
1732,ENH00568,ENC00216,macrophage,empty0,empty0
1733,ENH00568,ENC00130,spleen,empty0,empty0
1734,ENH00568,ENC00306,lymph_node,empty0,empty0
1735,ENH00568,ENC00018,bone_marrow,empty0,empty0
1736,ENH00568,ENC00228,dendritic_cell_in_lymphoid_tissues,empty0,empty0
1737,ENH00568,ENC00112,placenta,empty0,empty0
1738,ENH00568,ENC00048,heart,empty0,empty0
1739,ENH00568,ENC00074,lung,empty0,empty0
1740,ENH00568,ENC00144,thymus,empty0,empty0
1741,ENH00568,ENC00102,pancreas,empty0,empty0
1742,ENH00568,ENC00287,T-lymphocyte,empty0,empty0
1743,ENH00570,ENC00093,osteoblast,empty0,empty0
1744,ENH00570,ENC00283,fibroblast,empty0,empty0
1745,ENH00570,ENC00097,ovary,empty0,empty0
1746,ENH00570,ENC00140,testis,empty0,empty0
1747,ENH00570,ENC00048,heart,empty0,empty0
1748,ENH00573,ENC00048,heart,empty0,empty0
1749,ENH00573,ENC00063,kidney,empty0,empty0
1750,ENH00573,ENC00074,lung,empty0,empty0
1751,ENH00573,ENC00102,pancreas,empty0,empty0
1752,ENH00573,ENC00112,placenta,empty0,empty0
1753,ENH00573,ENC00097,ovary,empty0,empty0
1754,ENH00573,ENC00127,small_intestine,empty0,empty0
1755,ENH00573,ENC00130,spleen,empty0,empty0
1756,ENH00574,ENC00063,kidney,empty0,empty0
1757,ENH00574,ENC00140,testis,empty0,empty0
1758,ENH00574,ENC00112,placenta,empty0,empty0
1759,ENH00574,ENC00097,ovary,empty0,empty0
1760,ENH00574,ENC00127,small_intestine,empty0,empty0
1761,ENH00574,ENC00330,articular_cartilage,empty0,empty0
1762,ENH00574,ENC00250,chondrocyte,empty0,empty0
1763,ENH00574,ENC00393,synovial_cell_phagocytic,empty0,empty0
1764,ENH00574,ENC00115,prostate,empty0,empty0
1765,ENH00575,ENC00027,central_nerve_system_element,empty0,empty0
1766,ENH00575,ENC00181,cerebellar_cortex,empty0,empty0
1767,ENH00575,ENC00050,hippocampus,empty0,empty0
1768,ENH00575,ENC00063,kidney,empty0,empty0
