,Endo_id,Transported hormone,Target receptor
438,ENT00566,ENH00276,ENR00837
439,ENT00567,ENH00650,ENR01075
440,ENT00568,ENH00072,ENR00700
441,ENT00569,ENH00651,ENR00700
442,ENT00570,ENH00304,ENR00702
443,ENT00571,ENH00327,ENR00611
444,ENT00572,ENH00328,ENR00618
445,ENT00573,ENH00237,ENR00619
446,ENT00574,ENH00321,ENR00621
447,ENT00575,ENH00310,ENR00710
448,ENT00576,ENH00273,ENR00839
449,ENT00577,ENH00259,ENR01001
450,ENT00578,ENH00322,ENR00853
451,ENT00579,ENH00341,ENR00118
452,ENT00581,ENH00568,ENR01082
453,ENT00582,ENH00566,ENR01082
454,ENT00583,ENH00583,ENR01050
455,ENT00584,ENH00072,ENR01084
456,ENT00585,ENH00073,ENR01084
457,ENT00586,ENH00297,ENR01084
458,ENT00587,ENH00651,ENR01084
459,ENT00588,ENH00656,ENR01084
460,ENT00589,ENH00668,ENR01085
461,ENT00590,ENH00667,ENR00577
462,ENT00591,ENH00672,ENR00587
463,ENT00593,ENH00673,ENR00587
464,ENT00594,ENH00296,ENR00702
465,ENT00595,ENH00298,ENR00702
466,ENT00596,ENH00073,ENR00702
467,ENT00597,ENH00072,ENR00698
468,ENT00598,ENH00072,ENR00699
469,ENT00599,ENH00072,ENR00702
470,ENT00600,ENH00299,ENR00702
471,ENT00601,ENH00654,ENR00702
472,ENT00602,ENH00653,ENR00702
473,ENT00603,ENH00683,ENR00724
474,ENT00604,ENH00683,ENR00654
475,ENT00605,ENH00683,ENR01003
476,ENT00606,ENH00678,ENR00724
477,ENT00607,ENH00686,ENR01089
478,ENT00609,ENH00687,ENR01089
479,ENT00610,ENH00364,ENR00836
480,ENT00611,ENH00689,ENR00836
481,ENT00612,ENH00690,ENR00732
482,ENT00613,ENH00263,ENR00706
483,ENT00614,ENH00329,ENR00688
484,ENT00615,ENH00329,ENR00682
485,ENT00616,ENH00347,ENR00682
486,ENT00617,ENH00331,ENR00682
487,ENT00618,ENH00316,ENR00930
488,ENT00619,ENH00718,ENR00604
489,ENT00620,ENH00252,ENR01102
490,ENT00621,ENH00253,ENR01102
491,ENT00622,ENH00252,ENR01101
492,ENT00623,ENH00325,ENR01103
493,ENT00624,ENH00287,ENR01104
494,ENT00625,ENH00462,ENR01104
495,ENT00626,ENH00453,ENR01104
496,ENT00628,ENH00446,ENR01105
497,ENT00629,ENH00454,ENR01106
498,ENT00630,ENH00259,ENR01107
499,ENT00631,ENH00728,ENR00776
500,ENT00633,ENH00728,ENR00731
501,ENT00634,ENH00728,ENR00730
502,ENT00635,ENH00728,ENR00729
503,ENT00636,ENH00728,ENR00733
504,ENT00637,ENH00463,ENR01108
505,ENT00638,ENH00631,ENR01108
506,ENT00639,ENH00256,ENR00914
507,ENT00640,ENH00333,ENR00914
508,ENT00641,ENH00400,ENR00914
509,ENT00642,ENH00350,ENR00914
510,ENT00643,ENH00403,ENR00914
511,ENT00644,ENH00350,ENR00675
512,ENT00645,ENH00348,ENR00677
513,ENT00646,ENH00256,ENR00677
514,ENT00647,ENH00334,ENR00677
515,ENT00648,ENH00276,ENR00677
516,ENT00649,ENH00348,ENR00685
517,ENT00650,ENH00334,ENR00685
518,ENT00651,ENH00349,ENR00685
519,ENT00652,ENH00276,ENR00685
520,ENT00653,ENH00334,ENR00688
521,ENT00654,ENH00730,ENR01112
522,ENT00655,ENH00732,ENR01115
523,ENT00656,ENH00073,ENR00005
524,ENT00657,ENH00734,ENR00827
525,ENT00658,ENH00734,ENR00828
526,ENT00659,ENH00734,ENR00829
527,ENT00660,ENH00734,ENR00830
528,ENT00661,ENH00734,ENR00831
529,ENT00662,ENH00734,ENR00832
530,ENT00663,ENH00734,ENR00833
531,ENT00664,ENH00734,ENR00815
532,ENT00665,ENH00734,ENR00622
533,ENT00666,ENH00734,ENR00866
534,ENT00667,ENH00734,ENR00867
535,ENT00668,ENH00734,ENR00626
536,ENT00669,ENH00734,ENR00623
537,ENT00670,ENH00734,ENR00624
538,ENT00671,ENH00734,ENR00625
539,ENT00672,ENH00734,ENR01118
540,ENT00673,ENH00734,ENR00869
541,ENT00674,ENH00734,ENR00870
542,ENT00675,ENH00734,ENR00900
543,ENT00676,ENH00734,ENR00932
544,ENT00677,ENH00734,ENR00871
545,ENT00678,ENH00734,ENR00103
546,ENT00679,ENH00022,ENR00807
547,ENT00680,ENH00043,ENR00807
548,ENT00681,ENH00022,ENR00089
549,ENT00682,ENH00022,ENR00090
550,ENT00683,ENH00043,ENR00089
551,ENT00684,ENH00043,ENR00090
552,ENT00685,ENH00192,ENR00696
553,ENT00686,ENH00023,ENR00093
554,ENT00687,ENH00377,ENR00872
555,ENT00688,ENH00244,ENR00632
556,ENT00689,ENH00244,ENR00631
557,ENT00690,ENH00730,ENR00620
558,ENT00691,ENH00476,ENR01128
559,ENT00692,ENH00476,ENR01127
560,ENT00693,ENH00749,ENR01129
561,ENT00694,ENH00740,ENR01127
562,ENT00695,ENH00740,ENR01024
563,ENT00697,ENH00476,ENR01085
564,ENT00698,ENH00476,ENR01133
565,ENT00699,ENH00476,ENR01136
566,ENT00700,ENH00476,ENR01137
567,ENT00701,ENH00476,ENR01138
568,ENT00703,ENH00476,ENR01140
569,ENT00704,ENH00476,ENR01141
570,ENT00705,ENH00476,ENR01142
571,ENT00710,ENH00761,ENR00669
572,ENT00711,ENH00761,ENR00668
573,ENT00712,ENH00269,ENR00845
574,ENT00713,ENH00516,ENR00845
575,ENT00714,ENH00760,ENR00668
576,ENT00715,ENH00476,ENR01143
577,ENT00716,ENH00454,ENR01143
578,ENT00717,ENH00476,ENR01144
579,ENT00718,ENH00231,ENR00667
580,ENT00719,ENH00758,ENR00667
581,ENT00720,ENH00736,ENR00898
582,ENT00721,ENH00226,ENR00727
583,ENT00722,ENH00226,ENR00728
584,ENT00723,ENH00226,ENR00917
585,ENT00724,ENH00748,ENR01105
586,ENT00725,ENH00748,ENR01150
587,ENT00726,ENH00748,ENR01149
588,ENT00727,ENH00809,ENR01163
589,ENT00729,ENH00825,ENR01150
590,ENT00730,ENH00825,ENR01151
591,ENT00731,ENH00825,ENR01143
592,ENT00732,ENH00825,ENR01166
593,ENT00733,ENH00826,ENR01167
594,ENT00734,ENH00827,ENR01167
595,ENT00735,ENH00826,ENR01150
596,ENT00736,ENH00826,ENR01151
597,ENT00737,ENH00826,ENR01143
598,ENT00738,ENH00826,ENR01159
599,ENT00739,ENH00827,ENR01159
600,ENT00740,ENH00827,ENR01150
601,ENT00741,ENH00827,ENR01151
602,ENT00742,ENH00827,ENR01143
603,ENT00743,ENH00826,ENR01165
604,ENT00744,ENH00827,ENR01165
605,ENT00745,ENH00822,ENR01149
606,ENT00746,ENH00822,ENR01159
607,ENT00747,ENH00822,ENR01168
608,ENT00748,ENH00542,ENR01169
609,ENT00749,ENH00543,ENR01169
610,ENT00750,ENH00548,ENR01018
611,ENT00751,ENH00549,ENR01018
612,ENT00752,ENH00459,ENR01018
613,ENT00754,ENH00545,ENR01169
614,ENT00755,ENH00417,ENR01169
615,ENT00756,ENH00417,ENR00604
616,ENT00757,ENH00454,ENR01149
617,ENT00758,ENH00826,ENR01149
618,ENT00759,ENH00832,ENR01149
619,ENT00760,ENH00823,ENR01149
620,ENT00761,ENH00824,ENR01149
621,ENT00762,ENH00795,ENR01149
622,ENT00763,ENH00825,ENR01159
623,ENT00764,ENH00823,ENR01159
624,ENT00765,ENH00824,ENR01159
